id,username,presentation
299,tempAnon200,27
300,tempAnon201,27
301,tempAnon202,27
302,tempAnon203,27
303,tempAnon204,27
304,tempAnon205,28
305,tempAnon206,28
306,tempAnon207,28
307,tempAnon208,27
308,tempAnon209,27
309,tempAnon210,29
310,tempAnon211,30
311,tempAnon212,31
312,tempAnon213,31
313,tempAnon214,30
314,tempAnon215,32
315,tempAnon216,32
316,tempAnon217,23
317,tempAnon218,11
318,tempAnon219,24
319,tempAnon220,32
320,tempAnon221,32
321,tempAnon222,33
322,tempAnon223,34
323,tempAnon224,32
324,tempAnon225,35
325,tempAnon226,36
326,tempAnon227,36
327,tempAnon228,35
328,tempAnon229,35
329,tempAnon230,36
330,tempAnon231,35
331,tempAnon232,36
332,tempAnon233,35
333,tempAnon234,36
334,tempAnon235,35
335,tempAnon236,36
336,tempAnon237,36
337,tempAnon238,35
338,tempAnon239,36
339,tempAnon240,35
340,tempAnon241,35
341,tempAnon242,36
342,tempAnon243,36
343,tempAnon244,35
344,tempAnon245,35
345,tempAnon246,36
346,tempAnon247,36
347,tempAnon248,35
348,tempAnon249,36
349,tempAnon250,35
350,tempAnon251,35
351,tempAnon252,36
352,tempAnon253,36
353,tempAnon254,35
354,tempAnon255,35
355,tempAnon256,36
356,tempAnon257,35
357,tempAnon258,36
358,tempAnon259,35
359,tempAnon260,36
360,tempAnon261,37
361,tempAnon262,35
362,tempAnon263,36
363,tempAnon264,38
364,tempAnon265,38
365,tempAnon266,40
366,tempAnon267,40
367,tempAnon268,40
368,tempAnon269,40
369,tempAnon270,40
370,tempAnon271,40
371,tempAnon272,40
372,tempAnon273,40
373,tempAnon274,38
374,tempAnon275,38
375,tempAnon276,38
376,tempAnon277,38
377,tempAnon278,38
378,tempAnon279,38
379,tempAnon280,38
380,tempAnon281,38
381,tempAnon282,38
382,tempAnon283,38
383,tempAnon284,38
384,tempAnon285,38
385,tempAnon286,38
386,tempAnon287,38
387,tempAnon288,38
388,tempAnon289,38
389,tempAnon290,38
390,tempAnon291,38
391,tempAnon292,38
392,tempAnon293,38
393,tempAnon294,38
394,tempAnon295,38
395,tempAnon296,38
396,tempAnon297,38
397,tempAnon298,39
398,tempAnon299,39
399,tempAnon300,39
400,tempAnon301,39
401,tempAnon302,39
402,tempAnon303,41
403,tempAnon304,41
404,tempAnon305,41
405,tempAnon306,45
406,tempAnon307,41
407,tempAnon308,48
408,tempAnon309,50
409,tempAnon310,44
410,tempAnon311,50
411,tempAnon312,47
412,tempAnon313,51
413,tempAnon314,51
414,tempAnon315,53
415,tempAnon316,48
416,tempAnon317,50
417,tempAnon318,44
418,tempAnon319,45
419,tempAnon320,41
420,tempAnon321,46
421,tempAnon322,50
422,tempAnon323,50
423,tempAnon324,44
424,tempAnon325,48
425,tempAnon326,50
426,tempAnon327,50
427,tempAnon328,46
428,tempAnon329,50
429,tempAnon330,50
430,tempAnon331,50
431,tempAnon332,44
432,tempAnon333,45
433,tempAnon334,50
434,tempAnon335,50
435,tempAnon336,44
436,tempAnon337,50
437,tempAnon338,45
438,tempAnon339,41
439,tempAnon340,48
440,tempAnon341,50
441,tempAnon342,46
442,tempAnon343,50
443,tempAnon344,50
444,tempAnon345,50
445,tempAnon346,47
446,tempAnon347,51
447,tempAnon348,53
448,tempAnon349,54
449,tempAnon350,44
450,tempAnon351,45
451,tempAnon352,50
452,tempAnon353,50
453,tempAnon354,50
454,tempAnon355,50
455,tempAnon356,50
456,tempAnon357,44
457,tempAnon358,50
458,tempAnon359,50
459,tempAnon360,41
460,tempAnon361,41
461,tempAnon362,50
462,tempAnon363,50
463,tempAnon364,47
464,tempAnon365,51
465,tempAnon366,50
466,tempAnon367,53
467,tempAnon368,54
468,tempAnon369,50
469,tempAnon370,50
470,tempAnon371,50
471,tempAnon372,50
472,tempAnon373,50
473,tempAnon374,50
474,tempAnon375,44
475,tempAnon376,44
476,tempAnon377,50
477,tempAnon378,44
478,tempAnon379,44
479,tempAnon380,44
480,tempAnon381,44
481,tempAnon382,44
482,tempAnon383,44
483,tempAnon384,44
484,tempAnon385,44
485,tempAnon386,44
486,tempAnon387,44
487,tempAnon388,44
488,tempAnon389,44
489,tempAnon390,44
490,tempAnon391,44
491,tempAnon392,44
492,tempAnon393,44
493,tempAnon394,44
494,tempAnon395,44
495,tempAnon396,44
496,tempAnon397,50
497,tempAnon398,44
498,tempAnon399,44
499,tempAnon400,44
500,tempAnon401,45
501,tempAnon402,45
502,tempAnon403,45
503,tempAnon404,45
504,tempAnon405,45
505,tempAnon406,45
506,tempAnon407,45
507,tempAnon408,45
508,tempAnon409,45
509,tempAnon410,45
510,tempAnon411,45
511,tempAnon412,45
512,tempAnon413,45
513,tempAnon414,45
514,tempAnon415,45
515,tempAnon416,45
516,tempAnon417,45
517,tempAnon418,45
518,tempAnon419,45
519,tempAnon420,45
520,tempAnon421,45
521,tempAnon422,45
522,tempAnon423,45
523,tempAnon424,41
524,tempAnon425,41
525,tempAnon426,41
526,tempAnon427,41
527,tempAnon428,41
528,tempAnon429,41
529,tempAnon430,41
530,tempAnon431,41
531,tempAnon432,41
532,tempAnon433,41
533,tempAnon434,48
534,tempAnon435,41
535,tempAnon436,45
536,tempAnon437,41
537,tempAnon438,41
538,tempAnon439,41
539,tempAnon440,41
540,tempAnon441,41
541,tempAnon442,41
542,tempAnon443,41
543,tempAnon444,41
544,tempAnon445,41
545,tempAnon446,41
546,tempAnon447,41
547,tempAnon448,41
548,tempAnon449,41
549,tempAnon450,41
550,tempAnon451,48
551,tempAnon452,41
552,tempAnon453,48
553,tempAnon454,48
554,tempAnon455,48
555,tempAnon456,41
556,tempAnon457,48
557,tempAnon458,48
558,tempAnon459,48
559,tempAnon460,48
560,tempAnon461,48
561,tempAnon462,48
562,tempAnon463,48
563,tempAnon464,46
564,tempAnon465,48
565,tempAnon466,48
566,tempAnon467,48
567,tempAnon468,48
568,tempAnon469,48
569,tempAnon470,48
570,tempAnon471,48
571,tempAnon472,46
572,tempAnon473,48
573,tempAnon474,48
574,tempAnon475,48
575,tempAnon476,48
576,tempAnon477,46
577,tempAnon478,48
578,tempAnon479,46
579,tempAnon480,46
580,tempAnon481,46
581,tempAnon482,46
582,tempAnon483,46
583,tempAnon484,46
584,tempAnon485,46
585,tempAnon486,46
586,tempAnon487,46
587,tempAnon488,46
588,tempAnon489,46
589,tempAnon490,46
590,tempAnon491,46
591,tempAnon492,46
592,tempAnon493,46
593,tempAnon494,46
594,tempAnon495,46
595,tempAnon496,46
596,tempAnon497,47
597,tempAnon498,46
598,tempAnon499,46
599,tempAnon500,46
600,tempAnon501,46
601,tempAnon502,46
602,tempAnon503,47
603,tempAnon504,47
604,tempAnon505,47
605,tempAnon506,46
606,tempAnon507,47
607,tempAnon508,47
608,tempAnon509,47
609,tempAnon510,47
610,tempAnon511,47
611,tempAnon512,47
612,tempAnon513,47
613,tempAnon514,47
614,tempAnon515,47
615,tempAnon516,47
616,tempAnon517,47
617,tempAnon518,47
618,tempAnon519,47
619,tempAnon520,47
620,tempAnon521,47
621,tempAnon522,47
622,tempAnon523,47
623,tempAnon524,47
624,tempAnon525,47
625,tempAnon526,47
626,tempAnon527,47
627,tempAnon528,47
628,tempAnon529,47
629,tempAnon530,51
630,tempAnon531,51
631,tempAnon532,51
632,tempAnon533,51
633,tempAnon534,51
634,tempAnon535,51
635,tempAnon536,51
636,tempAnon537,51
637,tempAnon538,51
638,tempAnon539,51
639,tempAnon540,51
640,tempAnon541,51
641,tempAnon542,51
642,tempAnon543,51
643,tempAnon544,51
644,tempAnon545,51
645,tempAnon546,51
646,tempAnon547,51
647,tempAnon548,51
648,tempAnon549,51
649,tempAnon550,51
650,tempAnon551,51
651,tempAnon552,51
652,tempAnon553,51
653,tempAnon554,51
654,tempAnon555,53
655,tempAnon556,53
656,tempAnon557,53
657,tempAnon558,53
658,tempAnon559,53
659,tempAnon560,53
660,tempAnon561,53
661,tempAnon562,53
662,tempAnon563,53
663,tempAnon564,53
664,tempAnon565,53
665,tempAnon566,53
666,tempAnon567,53
667,tempAnon568,53
668,tempAnon569,53
669,tempAnon570,53
670,tempAnon571,53
671,tempAnon572,53
672,tempAnon573,53
673,tempAnon574,53
674,tempAnon575,53
675,tempAnon576,53
676,tempAnon577,53
677,tempAnon578,53
678,tempAnon579,53
679,tempAnon580,53
680,tempAnon581,54
681,tempAnon582,54
682,tempAnon583,54
683,tempAnon584,54
684,tempAnon585,54
685,tempAnon586,54
686,tempAnon587,54
687,tempAnon588,54
688,tempAnon589,54
689,tempAnon590,54
690,tempAnon591,54
691,tempAnon592,54
692,tempAnon593,54
693,tempAnon594,54
694,tempAnon595,54
695,tempAnon596,54
696,tempAnon597,54
697,tempAnon598,54
698,tempAnon599,54
699,tempAnon600,54
700,tempAnon601,54
701,tempAnon602,54
702,tempAnon603,54
703,tempAnon604,54
704,tempAnon605,54
705,tempAnon606,54
706,tempAnon607,54
707,tempAnon608,54
708,tempAnon609,54
709,tempAnon610,47
710,tempAnon611,51
711,tempAnon612,48
712,tempAnon613,53
713,tempAnon614,41
714,tempAnon615,45
715,tempAnon616,45
716,tempAnon617,45
717,tempAnon618,58
718,tempAnon619,50
719,tempAnon620,66
720,tempAnon621,58
721,tempAnon622,62
722,tempAnon623,57
723,tempAnon624,58
724,tempAnon625,56
725,tempAnon626,60
726,tempAnon627,66
727,tempAnon628,65
728,tempAnon629,61
729,tempAnon630,62
730,tempAnon631,57
731,tempAnon632,58
732,tempAnon633,56
733,tempAnon634,67
734,tempAnon635,62
735,tempAnon636,57
736,tempAnon637,65
737,tempAnon638,62
738,tempAnon639,62
739,tempAnon640,62
740,tempAnon641,62
741,tempAnon642,62
742,tempAnon643,62
743,tempAnon644,62
744,tempAnon645,57
745,tempAnon646,58
746,tempAnon647,62
747,tempAnon648,62
748,tempAnon649,62
749,tempAnon650,62
750,tempAnon651,62
751,tempAnon652,56
752,tempAnon653,62
753,tempAnon654,50
754,tempAnon655,62
755,tempAnon656,62
756,tempAnon657,50
757,tempAnon658,62
758,tempAnon659,62
759,tempAnon660,62
760,tempAnon661,62
761,tempAnon662,62
762,tempAnon663,62
763,tempAnon664,62
764,tempAnon665,62
765,tempAnon666,67
766,tempAnon667,67
767,tempAnon668,67
768,tempAnon669,67
769,tempAnon670,67
770,tempAnon671,67
771,tempAnon672,62
772,tempAnon673,67
773,tempAnon674,67
774,tempAnon675,45
775,tempAnon676,67
776,tempAnon677,67
777,tempAnon678,67
778,tempAnon679,67
779,tempAnon680,67
780,tempAnon681,67
781,tempAnon682,67
782,tempAnon683,67
783,tempAnon684,67
784,tempAnon685,67
785,tempAnon686,67
786,tempAnon687,67
787,tempAnon688,67
788,tempAnon689,67
789,tempAnon690,57
790,tempAnon691,58
791,tempAnon692,57
792,tempAnon693,57
793,tempAnon694,57
794,tempAnon695,57
795,tempAnon696,48
796,tempAnon697,57
797,tempAnon698,67
798,tempAnon699,57
799,tempAnon700,57
800,tempAnon701,57
801,tempAnon702,57
802,tempAnon703,57
803,tempAnon704,57
804,tempAnon705,67
805,tempAnon706,57
806,tempAnon707,57
807,tempAnon708,57
808,tempAnon709,57
809,tempAnon710,57
810,tempAnon711,57
811,tempAnon712,57
812,tempAnon713,57
813,tempAnon714,57
814,tempAnon715,57
815,tempAnon716,57
816,tempAnon717,57
817,tempAnon718,57
818,tempAnon719,57
819,tempAnon720,67
820,tempAnon721,56
821,tempAnon722,58
822,tempAnon723,56
823,tempAnon724,58
824,tempAnon725,58
825,tempAnon726,58
826,tempAnon727,58
827,tempAnon728,58
828,tempAnon729,58
829,tempAnon730,58
830,tempAnon731,58
831,tempAnon732,58
832,tempAnon733,58
833,tempAnon734,58
834,tempAnon735,58
835,tempAnon736,58
836,tempAnon737,58
837,tempAnon738,58
838,tempAnon739,58
839,tempAnon740,58
840,tempAnon741,58
841,tempAnon742,56
842,tempAnon743,58
843,tempAnon744,58
844,tempAnon745,58
845,tempAnon746,58
846,tempAnon747,58
847,tempAnon748,56
848,tempAnon749,56
849,tempAnon750,56
850,tempAnon751,56
851,tempAnon752,56
852,tempAnon753,56
853,tempAnon754,56
854,tempAnon755,56
855,tempAnon756,56
856,tempAnon757,56
857,tempAnon758,56
858,tempAnon759,56
859,tempAnon760,56
860,tempAnon761,56
861,tempAnon762,59
862,tempAnon763,56
863,tempAnon764,56
864,tempAnon765,56
865,tempAnon766,56
866,tempAnon767,56
867,tempAnon768,56
868,tempAnon769,56
869,tempAnon770,56
870,tempAnon771,59
871,tempAnon772,59
872,tempAnon773,56
873,tempAnon774,59
874,tempAnon775,59
875,tempAnon776,59
876,tempAnon777,60
877,tempAnon778,59
878,tempAnon779,59
879,tempAnon780,59
880,tempAnon781,59
881,tempAnon782,59
882,tempAnon783,59
883,tempAnon784,59
884,tempAnon785,59
885,tempAnon786,59
886,tempAnon787,59
887,tempAnon788,56
888,tempAnon789,60
889,tempAnon790,59
890,tempAnon791,59
891,tempAnon792,59
892,tempAnon793,59
893,tempAnon794,59
894,tempAnon795,59
895,tempAnon796,59
896,tempAnon797,59
897,tempAnon798,59
898,tempAnon799,60
899,tempAnon800,60
900,tempAnon801,66
901,tempAnon802,60
902,tempAnon803,60
903,tempAnon804,60
904,tempAnon805,60
905,tempAnon806,60
906,tempAnon807,60
907,tempAnon808,60
908,tempAnon809,66
909,tempAnon810,60
910,tempAnon811,60
911,tempAnon812,60
912,tempAnon813,60
913,tempAnon814,60
914,tempAnon815,60
915,tempAnon816,60
916,tempAnon817,60
917,tempAnon818,60
918,tempAnon819,60
919,tempAnon820,60
920,tempAnon821,60
921,tempAnon822,66
922,tempAnon823,66
923,tempAnon824,66
924,tempAnon825,66
925,tempAnon826,66
926,tempAnon827,66
927,tempAnon828,65
928,tempAnon829,66
929,tempAnon830,66
930,tempAnon831,66
931,tempAnon832,66
932,tempAnon833,66
933,tempAnon834,66
934,tempAnon835,66
935,tempAnon836,66
936,tempAnon837,66
937,tempAnon838,66
938,tempAnon839,66
939,tempAnon840,66
940,tempAnon841,66
941,tempAnon842,66
942,tempAnon843,66
943,tempAnon844,66
944,tempAnon845,65
945,tempAnon846,65
946,tempAnon847,65
947,tempAnon848,65
948,tempAnon849,65
949,tempAnon850,65
950,tempAnon851,65
951,tempAnon852,65
952,tempAnon853,65
953,tempAnon854,65
954,tempAnon855,65
955,tempAnon856,65
956,tempAnon857,65
957,tempAnon858,65
958,tempAnon859,66
959,tempAnon860,65
960,tempAnon861,65
961,tempAnon862,65
962,tempAnon863,65
963,tempAnon864,65
964,tempAnon865,65
965,tempAnon866,65
966,tempAnon867,65
967,tempAnon868,65
968,tempAnon869,61
969,tempAnon870,66
970,tempAnon871,61
971,tempAnon872,65
972,tempAnon873,65
973,tempAnon874,61
974,tempAnon875,61
975,tempAnon876,61
976,tempAnon877,61
977,tempAnon878,61
978,tempAnon879,61
979,tempAnon880,61
980,tempAnon881,61
981,tempAnon882,61
982,tempAnon883,61
983,tempAnon884,61
984,tempAnon885,61
985,tempAnon886,61
986,tempAnon887,61
987,tempAnon888,61
988,tempAnon889,61
989,tempAnon890,61
990,tempAnon891,61
991,tempAnon892,61
992,tempAnon893,61
993,tempAnon894,61
994,tempAnon895,61
995,tempAnon896,61
996,tempAnon897,67
997,tempAnon898,59
998,tempAnon899,65
999,tempAnon900,73
1000,tempAnon901,68
1001,tempAnon902,68
1002,tempAnon903,70
1003,tempAnon904,64
1004,tempAnon905,75
1005,tempAnon906,73
1006,tempAnon907,64
1007,tempAnon908,75
1008,tempAnon909,68
1009,tempAnon910,70
1010,tempAnon911,64
1011,tempAnon912,75
1012,tempAnon913,76
1013,tempAnon914,76
1014,tempAnon915,76
1015,tempAnon916,76
1016,tempAnon917,76
1017,tempAnon918,76
1018,tempAnon919,76
1019,tempAnon920,76
1020,tempAnon921,76
1021,tempAnon922,76
1022,tempAnon923,76
1023,tempAnon924,50
1024,tempAnon925,76
1025,tempAnon926,76
1026,tempAnon927,76
1027,tempAnon928,76
1028,tempAnon929,76
1029,tempAnon930,76
1030,tempAnon931,76
1031,tempAnon932,76
1032,tempAnon933,76
1033,tempAnon934,76
1034,tempAnon935,64
1035,tempAnon936,76
1036,tempAnon937,75
1037,tempAnon938,75
1038,tempAnon939,75
1039,tempAnon940,75
1040,tempAnon941,76
1041,tempAnon942,75
1042,tempAnon943,75
1043,tempAnon944,75
1044,tempAnon945,75
1045,tempAnon946,75
1046,tempAnon947,75
1047,tempAnon948,75
1048,tempAnon949,75
1049,tempAnon950,75
1050,tempAnon951,75
1051,tempAnon952,75
1052,tempAnon953,75
1053,tempAnon954,75
1054,tempAnon955,75
1055,tempAnon956,75
1056,tempAnon957,75
1057,tempAnon958,75
1058,tempAnon959,73
1059,tempAnon960,73
1060,tempAnon961,73
1061,tempAnon962,73
1062,tempAnon963,73
1063,tempAnon964,73
1064,tempAnon965,73
1065,tempAnon966,73
1066,tempAnon967,73
1067,tempAnon968,73
1068,tempAnon969,73
1069,tempAnon970,73
1070,tempAnon971,73
1071,tempAnon972,73
1072,tempAnon973,73
1073,tempAnon974,73
1074,tempAnon975,73
1075,tempAnon976,73
1076,tempAnon977,73
1077,tempAnon978,68
1078,tempAnon979,76
1079,tempAnon980,73
1080,tempAnon981,75
1081,tempAnon982,73
1082,tempAnon983,73
1083,tempAnon984,73
1084,tempAnon985,68
1085,tempAnon986,68
1086,tempAnon987,68
1087,tempAnon988,68
1088,tempAnon989,68
1089,tempAnon990,68
1090,tempAnon991,68
1091,tempAnon992,68
1092,tempAnon993,68
1093,tempAnon994,68
1094,tempAnon995,68
1095,tempAnon996,68
1096,tempAnon997,68
1097,tempAnon998,68
1098,tempAnon999,68
1099,tempAnon1000,68
1100,tempAnon1001,68
1101,tempAnon1002,68
1102,tempAnon1003,74
1103,tempAnon1004,74
1104,tempAnon1005,74
1105,tempAnon1006,74
1106,tempAnon1007,74
1107,tempAnon1008,74
1108,tempAnon1009,74
1109,tempAnon1010,74
1110,tempAnon1011,74
1111,tempAnon1012,74
1112,tempAnon1013,74
1113,tempAnon1014,74
1114,tempAnon1015,74
1115,tempAnon1016,74
1116,tempAnon1017,74
1117,tempAnon1018,74
1118,tempAnon1019,74
1119,tempAnon1020,74
1120,tempAnon1021,74
1121,tempAnon1022,74
1122,tempAnon1023,74
1123,tempAnon1024,69
1124,tempAnon1025,69
1125,tempAnon1026,69
1126,tempAnon1027,69
1127,tempAnon1028,69
1128,tempAnon1029,74
1129,tempAnon1030,69
1130,tempAnon1031,69
1131,tempAnon1032,69
1132,tempAnon1033,69
1133,tempAnon1034,69
1134,tempAnon1035,69
1135,tempAnon1036,69
1136,tempAnon1037,69
1137,tempAnon1038,69
1138,tempAnon1039,69
1139,tempAnon1040,69
1140,tempAnon1041,69
1141,tempAnon1042,69
1142,tempAnon1043,64
1143,tempAnon1044,69
1144,tempAnon1045,69
1145,tempAnon1046,64
1146,tempAnon1047,64
1147,tempAnon1048,64
1148,tempAnon1049,64
1149,tempAnon1050,64
1150,tempAnon1051,64
1151,tempAnon1052,64
1152,tempAnon1053,64
1153,tempAnon1054,64
1154,tempAnon1055,64
1155,tempAnon1056,64
1156,tempAnon1057,64
1157,tempAnon1058,64
1158,tempAnon1059,64
1159,tempAnon1060,64
1160,tempAnon1061,64
1161,tempAnon1062,64
1162,tempAnon1063,64
1163,tempAnon1064,77
1164,tempAnon1065,77
1165,tempAnon1066,77
1166,tempAnon1067,77
1167,tempAnon1068,77
1168,tempAnon1069,77
1169,tempAnon1070,77
1170,tempAnon1071,77
1171,tempAnon1072,77
1172,tempAnon1073,77
1173,tempAnon1074,77
1174,tempAnon1075,77
1175,tempAnon1076,77
1176,tempAnon1077,77
1177,tempAnon1078,77
1178,tempAnon1079,64
1179,tempAnon1080,64
1180,tempAnon1081,77
1181,tempAnon1082,77
1182,tempAnon1083,77
1183,tempAnon1084,72
1184,tempAnon1085,72
1185,tempAnon1086,72
1186,tempAnon1087,72
1187,tempAnon1088,70
1188,tempAnon1089,72
1189,tempAnon1090,72
1190,tempAnon1091,72
1191,tempAnon1092,72
1192,tempAnon1093,72
1193,tempAnon1094,72
1194,tempAnon1095,72
1195,tempAnon1096,72
1196,tempAnon1097,72
1197,tempAnon1098,72
1198,tempAnon1099,72
1199,tempAnon1100,72
1200,tempAnon1101,72
1201,tempAnon1102,72
1202,tempAnon1103,70
1203,tempAnon1104,70
1204,tempAnon1105,70
1205,tempAnon1106,70
1206,tempAnon1107,70
1207,tempAnon1108,70
1208,tempAnon1109,70
1209,tempAnon1110,70
1210,tempAnon1111,70
1211,tempAnon1112,70
1212,tempAnon1113,70
1213,tempAnon1114,70
1214,tempAnon1115,70
1215,tempAnon1116,70
1216,tempAnon1117,70
1217,tempAnon1118,70
1218,tempAnon1119,70
1219,tempAnon1120,76
1220,tempAnon1121,75
1221,tempAnon1122,73
1222,tempAnon1123,68
1223,tempAnon1124,74
1224,tempAnon1125,69
1225,tempAnon1126,77
1226,tempAnon1127,72
1227,tempAnon1128,72
1228,tempAnon1129,38
1229,tempAnon1130,40
1230,tempAnon1131,40
1231,tempAnon1132,38
1232,tempAnon1133,38
1233,tempAnon1134,38
1234,tempAnon1135,38
1235,tempAnon1136,38
1236,tempAnon1137,38
1237,tempAnon1138,38
1238,tempAnon1139,38
1239,tempAnon1140,38
1240,tempAnon1141,38
1241,tempAnon1142,40
1242,tempAnon1143,38
1243,tempAnon1144,38
1244,tempAnon1145,38
1245,tempAnon1146,38
1246,tempAnon1147,38
1247,tempAnon1148,38
1248,tempAnon1149,38
1249,tempAnon1150,38
1250,tempAnon1151,38
1251,tempAnon1152,38
1252,tempAnon1153,38
1253,tempAnon1154,38
1254,tempAnon1155,38
1255,tempAnon1156,38
1256,tempAnon1157,38
1257,tempAnon1158,38
1258,tempAnon1159,38
1259,tempAnon1160,38
1260,tempAnon1161,38
1261,tempAnon1162,38
1262,tempAnon1163,38
1263,tempAnon1164,38
1264,tempAnon1165,38
1265,tempAnon1166,38
1266,tempAnon1167,38
1267,tempAnon1168,38
1268,tempAnon1169,38
1269,tempAnon1170,38
1270,tempAnon1171,38
1271,tempAnon1172,38
1272,tempAnon1173,38
1273,tempAnon1174,38
1274,tempAnon1175,39
1275,tempAnon1176,38
1276,tempAnon1177,79
1277,tempAnon1178,79
1278,tempAnon1179,81
1279,tempAnon1180,39
1280,tempAnon1181,81
1281,tempAnon1182,81
1282,tempAnon1183,81
1283,tempAnon1184,32
1284,tempAnon1185,82
1285,tempAnon1186,85
1286,tempAnon1187,84
1287,tempAnon1188,84
1288,tempAnon1189,83
1289,tempAnon1190,84
1290,tempAnon1191,83
1291,tempAnon1192,88
1292,tempAnon1193,83
1293,tempAnon1194,83
1294,tempAnon1195,83
1295,tempAnon1196,83
1296,tempAnon1197,83
1297,tempAnon1198,86
1298,tempAnon1199,91
1299,tempAnon1200,91
1300,tempAnon1201,84
1301,tempAnon1202,84
1302,tempAnon1203,91
1303,tempAnon1204,84
1304,tempAnon1205,84
1305,tempAnon1206,87
1306,tempAnon1207,87
1307,tempAnon1208,87
1308,tempAnon1209,91
1309,tempAnon1210,90
1310,tempAnon1211,87
1311,tempAnon1212,90
1312,tempAnon1213,91
1313,tempAnon1214,91
1314,tempAnon1215,84
1315,tempAnon1216,83
1316,tempAnon1217,83
1317,tempAnon1218,83
1318,tempAnon1219,92
1319,tempAnon1220,92
1320,tempAnon1221,92
1321,tempAnon1222,92
1322,tempAnon1223,83
1323,tempAnon1224,92
1324,tempAnon1225,92
1325,tempAnon1226,93
1326,tempAnon1227,93
1327,tempAnon1228,93
1328,tempAnon1229,93
